丘比特	丘比特 💘
両替	両替 💱
並肩	並肩 🧑🏻‍🤝‍🧑🏻
中午好	中午好 🙂
中國	中國 🇨🇳
中國大陸	中國大陸 🇨🇳
中學	中學 🏫
中式快餐	中式快餐 🍱
中指	中指 🖕🏻
中方塊	中方塊 ◽️ ◾️
中產	中產 🧑🏻‍💼
中產女	中產女 👩🏻‍💼
中產男	中產男 👨🏻‍💼
中產階級	中產階級 🧑🏻‍💼
中產階級女	中產階級女 👩🏻‍💼
中產階級男	中產階級男 👨🏻‍💼
中秋	中秋 🌕 🎑
中秋節	中秋節 🌕 🎑
中等白方	中等白方 ◽️
中等黑方	中等黑方 ◾️
中華人民共和國	中華人民共和國 🇨🇳
中華民國	中華民國 🇹🇼
中非	中非 🇨🇫
串燒	串燒 🍢
丸子	丸子 🍡
丹麥	丹麥 🇩🇰
主廚	主廚 🧑🏻‍🍳
主廚女	主廚女 👩🏻‍🍳
主廚男	主廚男 👨🏻‍🍳
主意	主意 💭
乍得	乍得 🇹🇩
乒乓	乒乓 🏓
乒乓球	乒乓球 🏓
乒乓球拍	乒乓球拍 🏓
乖	乖 😬
乖孩子	乖孩子 🤓
乘	乘 ✖️
九	九 9️⃣
九枝燈台	九枝燈台 🕎
九枝燈臺	九枝燈臺 🕎
九點	九點 🕘
九點半	九點半 🕤
也就這樣	也就這樣 😪
也門	也門 🇾🇪
乳	乳 🥛
乳液	乳液 🧴
乳液瓶	乳液瓶 🧴
乳牛	乳牛 🐄
乳酪	乳酪 🧀
乾杯	乾杯 🥂 🍻
乾杯吧	乾杯吧 🍻 🥂
亂噏	亂噏 🤥
亂講	亂講 🤥
二	二 2️⃣
二點	二點 🕑
二點半	二點半 🕝
五	五 5️⃣
五弦琴	五弦琴 🪕
五彩紙屑	五彩紙屑 🎊
五指	五指 🖐🏻
五絃琴	五絃琴 🪕
五角星	五角星 ⭐️
五點	五點 🕔
五點半	五點半 🕠
井號鍵	井號鍵 #️⃣
亞塞拜然	亞塞拜然 🇦🇿
亞森欣	亞森欣 🇸🇭
亞洲	亞洲 🌏
亞美尼亞	亞美尼亞 🇦🇲
亞軍	亞軍 🥈
交通燈	交通燈 🚥 🚦
享受	享受 ☺️
亮蛋	亮蛋 🧑🏻‍🦲 🦲
亮蛋女	亮蛋女 👩🏻‍🦲
亮蛋男	亮蛋男 👨🏻‍🦲
人字拖	人字拖 🩴
人工智能	人工智能 🤖
人民幣	人民幣 💴
人造衛星	人造衛星 🛰️
人魚	人魚 🧜🏻
人魚女	人魚女 🧜🏻‍♀️
人魚男	人魚男 🧜🏻‍♂️
什麼	什麼 😟
仔	仔 🧒🏻
仔細	仔細 🧐
他	他 👤
他們	他們 👥
仙	仙 🧚🏻
仙人	仙人 🧚🏻
仙人女	仙人女 🧚🏻‍♀️
仙人掌	仙人掌 🌵
仙人男	仙人男 🧚🏻‍♂️
仙女	仙女 🧚🏻‍♀️
仙女棒	仙女棒 🎇
仙子	仙子 🧚🏻‍♂️
仙貝	仙貝 🍘
以色列	以色列 🇮🇱
仲秋	仲秋 🌕 🎑
企鵝	企鵝 🐧
伊拉克	伊拉克 🇮🇶
伊斯蘭	伊斯蘭 ☪️
伊斯蘭教	伊斯蘭教 ☪️
伊朗	伊朗 🇮🇷
休息	休息 😑
休旅車	休旅車 🚙
伯利茲	伯利茲 🇧🇿
估嚇	估嚇 😏
低亮度	低亮度 🔅
低溫	低溫 🥶
低音量	低音量 🔉
住宅區	住宅區 🏘️
住宿	住宿 🛌🏻
住店	住店 🛌🏻
佛堂	佛堂 🛐
佛得角	佛得角 🇨🇻
佛殿	佛殿 🛐
佛珠	佛珠 📿
作弄	作弄 😜
作曲	作曲 🎼
你也是	你也是 😏 😼
你大爺	你大爺 🤬
你好	你好 🙂 🖖🏻‍
你妹	你妹 😤 🤬
你媽	你媽 🤬
你媽屄	你媽屄 🤬
你猜	你猜 😏 😼
來信	來信 📨
來郵件	來郵件 📨
侍衛	侍衛 💂🏻
侍衛女	侍衛女 💂🏻‍♀️
侍衛男	侍衛男 💂🏻‍♂️
便便	便便 💩
便利商店	便利商店 🏪
便利店	便利店 🏪
便條	便條 📝
便當	便當 🍱 🥡
便餐	便餐 🥡
俄國	俄國 🇷🇺
俄羅斯	俄羅斯 🇷🇺
保加利亞	保加利亞 🇧🇬
保齡	保齡 🎳
保齡球	保齡球 🎳
信	信 ✉️
信件	信件 ✉️
信你有鬼	信你有鬼 😒
信封	信封 ✉️
信用卡	信用卡 💳
信箱	信箱 📮
信號	信號 📶
信號燈	信號燈 🚥 🚦
