#—	〔連接號,@破折夾注號〕
〠	〔郵政標誌臉〕
〷	〔電報換行分隔符〕
〼	〔日-ます〕
〽	〔日-庵點歌記號〕
◉	〔魚眼〕
◯	〔大圓圈〕
◦	〔空心加重號〕
◌	〔帶點圓圈〕
◆	〔實心菱形〕
◈	〔空實菱形〕
◇	〔空心菱形〕
◊	〔菱形〕
■	〔實心方〕
◼	〔實心中方〕
◾	〔實心中小方〕
▪	〔實心小型方〕
▢	〔帶圓空心方〕
◻	〔空心中方〕
◽	〔空心中小方〕
▫	〔空心小型方〕
▣	〔空實方〕
▲	〔實心三角〕
▴	〔實心小型三角〕
▵	〔空心小型三角〕
▼	〔實心三角〕
▾	〔實心小型三角〕
▽	〔空心三角〕
▿	〔空心小型三角〕
▶	〔實心三角〕
▸	〔實心小型三角〕
‣	〔三角加重號〕
▷	〔空心三角〕
▹	〔空心小型三角〕
◀	〔實心三角〕
◂	〔實心小型三角〕
◁	〔空心三角〕
◃	〔空心小型三角〕
€	〔歐元〕
₤	〔義大利里拉〕
₵	〔迦納塞地〕
₡	〔哥斯大黎加科朗〕
৳	〔孟加拉文盧比〕
฿	〔泰文貨幣符〕
₠	〔歐洲貨幣符〕
₢	〔克魯賽羅〕
₣	〔法國法郎〕
₥	〔密爾〕
₦	〔奈及利亞奈拉〕
₧	〔西班牙比塞塔〕
₩	〔韓元〕
₪	〔以色列新謝克爾〕
₫	〔越南盾〕
₭	〔寮國基普〕
₮	〔蒙古圖格里克〕
₯	〔希臘德拉克馬〕
₰	〔德國便士〕
₱	〔菲律賓比索〕
₲	〔巴拉圭瓜拉尼〕
₳	〔澳阿根廷幣符〕
₴	〔烏克蘭格里夫納〕
₶	〔法國硬幣〕
₷	〔英國瑞士硬幣〕
₸	〔哈薩克斯坦堅戈〕
₹	〔印度盧比〕
₺	〔土耳其里拉〕
₨	〔盧比〕
﷼	〔里亞爾〕
㊣	〔帶圈漢字〕
㊚	〔帶圈漢字〕
㊛	〔帶圈漢字〕
㊟	〔帶圈漢字〕
㉆	〔帶圈漢字〕
㊕	〔帶圈漢字〕
㊝	〔帶圈漢字〕
㊞	〔帶圈漢字〕
㊔	〔帶圈漢字〕
㊒	〔帶圈漢字〕
㊖	〔帶圈漢字〕
㊗	〔帶圈漢字〕
㉅	〔帶圈漢字〕
㊙	〔帶圈漢字〕
㊡	〔帶圈漢字〕
㊰	〔帶圈漢字〕
㊐	〔帶圈漢字〕
㊊	〔帶圈漢字〕
㊋	〔帶圈漢字〕
㊌	〔帶圈漢字〕
㊍	〔帶圈漢字〕
㊎	〔帶圈漢字〕
㊏	〔帶圈漢字〕
㊤	〔帶圈漢字〕
㊥	〔帶圈漢字〕
㊦	〔帶圈漢字〕
㊧	〔帶圈漢字〕
㊨	〔帶圈漢字〕
㊓	〔帶圈漢字〕
㊑	〔帶圈漢字〕
㊭	〔帶圈漢字〕
㊮	〔帶圈漢字〕
㊯	〔帶圈漢字〕
㊬	〔帶圈漢字〕
㊘	〔帶圈漢字〕
㊩	〔帶圈漢字〕
㊫	〔帶圈漢字〕
㊠	〔帶圈漢字〕
㊜	〔帶圈漢字〕
㊪	〔帶圈漢字〕
㉄	〔帶圈漢字〕
㊢	〔帶圈漢字〕
㉇	〔帶圈漢字〕
🉑	〔帶圈漢字〕
🉐	〔帶圈漢字〕
㊀	〔帶圈漢字〕
㊁	〔帶圈漢字〕
㊂	〔帶圈漢字〕
㊃	〔帶圈漢字〕
㊄	〔帶圈漢字〕
㊅	〔帶圈漢字〕
㊆	〔帶圈漢字〕
㊇	〔帶圈漢字〕
㊈	〔帶圈漢字〕
㊉	〔帶圈漢字〕
⅟	〔分之一〕
½	〔二分之一〕
↉	〔三分之零〕
⅓	〔三分之一〕
⅔	〔三分之二〕
¼	〔四分之一〕
¾	〔四分之三〕
⅕	〔五分之一〕
⅖	〔五分之二〕
⅗	〔五分之三〕
⅘	〔五分之四〕
⅙	〔六分之一〕
⅚	〔六分之五〕
⅐	〔七分之一〕
⅛	〔八分之一〕
⅜	〔八分之三〕
⅝	〔八分之五〕
⅞	〔八分之七〕
⅑	〔九分之一〕
⅒	〔十分之一〕
