ɠ	ɢʀ'〔拉-小:@IPA〕
ʛ	ɢʀ;〔拉-大:@IPA〕
ɧ	ʜᴄʀ'@ʜᴊʀ'@ʜʀᴄ'@ʜʀᴊ'@ᴊǫɢ'〔拉-小:@IPA〕
ʍ	ᴡᴋ'〔拉-小:@IPA〕
ɫ	ɪᴢ'@ʟᴢ'〔拉-小:@DJ,@IPA〕
ɥ	ʜǫ'@ᴜɪ'〔拉-小:@IPA〕
ɨ	ɪᴛ'〔拉-小:@IPA〕
ʉ	ᴜᴛ'〔拉-小:@IPA〕
ɯ	ᴍǫ'〔拉-小:@IPA〕
ø	ᴏx'〔拉-小:@IPA〕
ɘ	ᴇᴋ'〔拉-小:@IPA〕
ɵ	ǫɪ'〔拉-小:@IPA〕
ɤ	ᴏʏ'@ᴠᴏ'@ʏᴏ'@ʏᴡᴏ'〔拉-小:@IPA〕
ɞ	ʙꜰ'〔拉-小:@IPA〕
œ	ᴏʜᴇ'〔拉-小:@IPA〕
ɶ	ᴏʜᴇ;〔拉-大:@IPA〕
ɐ	ᴀǫ'〔拉-小:@IPA〕
ä	ᴀʙ'〔拉-小:@MW,@IPA〕
ᶿ	ǫʜ'〔拉-小:@IPA〕
ᵊ	ᴇǫʜ'〔拉-小:@IPA〕
ʰ	ʜʜ'〔拉-小:@IPA〕
ʱ	ʜʀʜ'〔拉-小:@IPA〕
ⁿ	ɴʜ'〔拉-小:@IPA〕
ʷ	ᴡʜ'〔拉-小:@IPA〕
ˠ	ɢᴏʜ'@ɴᴏʜ'@ᴠᴏʜ'〔拉-小:@IPA〕
ᶣ	ʜǫʜ'@ᴜʜ'〔拉-小:@IPA〕
ʲ	ᴊʜ'〔拉-小:@IPA〕
ˤ	ᴄꜰᴋʜ'@ᴄꜰʏʜ'@ᴄʏʜ'〔拉-小:@IPA〕
ˡ	ʟʜ'〔拉-小:@IPA〕
ǂ	ɪᴛᴛ'@ɪᴡᴛᴛ'@ʟᴛᴛ'@ɴꜰǫ'@ᴛꜰᴛ'〔拉-小:@IPA〕
‿	ᴅᴜᴡ'〔拉-小:@IPA,@下連接〕
‖	ɪᴡɪᴡ'〔拉-小:@IPA,@雙豎線〕
|	ɪᴡ'〔拉-小:@英半,@IPA〕
↗	ʟᴡǫ'〔拉-小:@IPA〕
↘	ʟᴡǫ'〔拉-小:@IPA〕
ꜛ	ʟᴡ'〔拉-小:@IPA〕
ꜜ	ʟᴡk'〔拉-小:@IPA〕
˥	ɢᴡᴋ'〔拉-小:@IPA〕
˦	ᴛᴡǫ'〔拉-小:@IPA〕
˧	ᴛᴡǫ'〔拉-小:@IPA〕
˨	ᴛᴡǫ'〔拉-小:@IPA〕
˩	ɢᴡǫ'〔拉-小:@IPA〕
˕	ᴅᴛᴡ'@ᴛᴡ'〔拉-小:@IPA〕
˔	ᴅᴛᴡᴋ'@ᴛᴡᴋ'〔拉-小:@IPA〕
ˑ	ᴅꜰ'@ᴅꜰᴋ'@ᴅᴋ'〔拉-小:@IPA〕
˞	ᴋᴡ'〔拉-小:@IPA〕
ʼ	ᴅᴡ'〔拉-小:@IPA〕
̠	@@@@ᴅᴇ''〔拉-組:@IPA〕
̊	@@@@ᴏ''〔拉-組:@IPA〕
̃	@@@@s''〔拉-組:@IPA〕
͡	@@@@ᴍ''〔拉-組:@IPA〕
̥	@@@@ᴅᴏ''〔拉-組:@IPA〕
̈	@@@@ʙ''〔拉-組:@IPA〕
̝	@@@@ᴅᴛᴋ''〔拉-組:@IPA〕
̪	@@@@ᴅʀ''〔拉-組:@IPA〕
̬	@@@@ᴅᴠ''〔拉-組:@IPA〕
̞	@@@@ᴅᴛ''〔拉-組:@IPA〕
