ㄱ	0
ㄲ	0
ㄳ	0
ㄴ	0
ㄵ	0
ㄶ	0
ㄷ	0
ㄸ	0
ㄹ	0
ㄺ	0
ㄻ	0
ㄼ	0
ㄽ	0
ㄾ	0
ㄿ	0
ㅀ	0
ㅁ	0
ㅂ	0
ㅃ	0
ㅄ	0
ㅅ	0
ㅆ	0
ㅇ	0
ㅈ	0
ㅉ	0
ㅊ	0
ㅋ	0
ㅌ	0
ㅍ	0
ㅎ	0
ㅏ	0
ㅐ	0
ㅑ	0
ㅒ	0
ㅓ	0
ㅔ	0
ㅕ	0
ㅖ	0
ㅗ	0
ㅘ	0
ㅙ	0
ㅚ	0
ㅛ	0
ㅜ	0
ㅝ	0
ㅞ	0
ㅟ	0
ㅠ	0
ㅡ	0
ㅢ	0
ㅣ	0
ㅥ	0
ㅦ	0
ㅧ	0
ㅨ	0
ㅩ	0
ㅪ	0
ㅫ	0
ㅬ	0
ㅭ	0
ㅮ	0
ㅯ	0
ㅰ	0
ㅱ	0
ㅲ	0
ㅳ	0
ㅴ	0
ㅵ	0
ㅶ	0
ㅷ	0
ㅸ	0
ㅹ	0
ㅺ	0
ㅻ	0
ㅼ	0
ㅽ	0
ㅾ	0
ㅿ	0
ㆀ	0
ㆁ	0
ㆂ	0
ㆃ	0
ㆄ	0
ㆅ	0
ㆆ	0
ㆇ	0
ㆈ	0
ㆉ	0
ㆊ	0
ㆋ	0
ㆌ	0
ㆍ	0
ㆎ	0
갂	20
갃	20
갅	20
갆	20
갉	1800
갊	1800
갋	20
갌	20
갍	20
갎	20
갏	20
값	1800
갔	1800
갞	20
갟	20
갡	20
갢	20
갥	20
갦	20
갧	20
갨	20
갩	20
갪	20
갫	20
갮	20
갰	1800
갺	20
갻	20
갽	20
갾	20
걁	20
걂	20
걃	20
걄	20
걅	20
걆	20
걇	20
걊	20
걌	20
걔	1800
걕	20
걖	20
걗	20
걘	1800
걙	20
걚	20
걛	20
걜	1800
걝	20
걞	20
걟	20
걠	20
걡	20
걢	20
걣	20
걤	20
걥	20
걦	20
걧	20
걨	20
걩	20
걪	20
걫	20
걬	20
걭	20
걮	20
걯	20
걲	20
걳	20
걵	20
걶	20
걹	20
걺	1800
걻	20
걼	20
걽	20
걾	20
걿	20
겂	20
겄	1800
겎	20
겏	20
겑	20
겒	20
겕	20
겖	20
겗	20
겘	20
겙	20
겚	20
겛	20
겞	20
겠	1800
겪	1800
겫	20
겭	20
겮	20
겱	20
겲	20
겳	20
겴	20
겵	20
겶	20
겷	20
